,freq,sig
0,0.76171875,2.2510074492619965
1,0.8203125,1.2667043355814631
2,0.87890625,11.044447371273463
3,0.9375,2.0285590711913395
4,0.99609375,14.649039266606053
5,1.0546875,5.288205018268272
6,1.11328125,9.926925339194696
7,1.171875,18.356954606481313
8,1.23046875,5.659255870709306
9,1.2890625,21.566116530432005
10,1.34765625,24.872237400367727
11,1.40625,20.07640813597916
12,1.46484375,20.277222760616354
13,1.5234375,36.262310580993784
14,1.58203125,38.79867070133575
15,1.640625,4.847404118436481
16,1.69921875,34.944547267749996
17,1.7578125,18.590516116121336
18,1.81640625,1.2311391515237555
19,1.875,19.903106504729113
20,1.93359375,1.9446343363574157
21,1.9921875,14.3417858941646
22,2.05078125,13.5340164663565
23,2.109375,45.63598628702936
24,2.16796875,11.668744576710454
25,2.2265625,10.093086632541288
26,2.28515625,25.386705499425453
27,2.34375,26.60057357074313
28,2.40234375,18.631825649622442
29,2.4609375,47.7820352744697
30,2.51953125,17.398305883344108
31,2.578125,20.925348744073755
32,2.63671875,20.489452383025668
33,2.6953125,23.82354438437703
34,2.75390625,18.16864904250435
35,2.8125,17.1271929867401
36,2.87109375,31.02945568086832
37,2.9296875,12.680003086545529
38,2.98828125,15.375970414474445
